institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
NIT,NIT-Puducherry,Electronics and Communication Engineering,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,42379.0,43325.0,43325.0,0.0,2021
NIT,NIT-Rourkela,Chemical Engineering,OBC-NCL,OS,Gender-Neutral,1,5 Years,Btech + M.Tech (IDD),2021,7343.0,7343.0,7343.0,0.0,2021
NIT,NIT-Jalandhar,Computer Science and Engineering,GEN,HS,Female-Only,1,4 Years,B.Tech,2021,4409.0,10787.0,10787.0,0.0,2021
NIT,NIT-Jalandhar,Mechanical Engineering,GEN,HS,Female-Only,1,4 Years,B.Tech,2021,40628.0,49600.0,49600.0,0.0,2021
NIT,NIT-Delhi,Computer Science and Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,634.0,5792.0,5792.0,0.0,2021
NIT,NIT-Goa,Computer Science and Engineering,GEN,GO,Female-Only,1,4 Years,B.Tech,2021,17260.0,17260.0,17260.0,0.0,2021
NIT,NIT-Goa,Mechanical Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,69198.0,98316.0,98316.0,0.0,2021
NIT,NIT-Sikkim,Civil Engineering,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,37637.0,41655.0,41655.0,0.0,2021
NIT,NIT-Sikkim,Computer Science and Engineering,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,19558.0,21385.0,21385.0,0.0,2021
NIT,NIT-Manipur,Civil Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,105716.0,189812.0,189812.0,0.0,2021
NIT,NIT-Rourkela,Ceramic Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,15569.0,41811.0,41811.0,0.0,2021
IIT,IIT-Bombay,Computer Science and Engineering,SC,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1.0,25.0,25.0,0.0,2021
IIT,IIT-Kharagpur,Computer Science and Engineering,SC,AI,Female-Only,1,5 Years,B.Tech + M.Tech (IDD),2021,651.0,679.0,679.0,0.0,2021
IIT,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,SC,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,2235.0,2404.0,2404.0,0.0,2021
IIT,IIT-Kharagpur,Metallurgical and Materials Engineering,SC,AI,Female-Only,2,5 Years,B.Tech + M.Tech (IDD),2021,3162.0,3162.0,3162.0,0.0,2021
NIT,NIT-Calicut,Chemical Engineering,GEN,HS,Gender-Neutral,7,4 Years,B.Tech,2019,18663.0,28862.0,28862.0,0.0,2019
NIT,NIT-Raipur,Computer Science and Engineering,GEN,OS,Female-Only,7,4 Years,B.Tech,2019,8084.0,14910.0,14910.0,0.0,2019
NIT,NIT-Jamshedpur,Mechanical Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,17068.0,21256.0,21256.0,0.0,2019
NIT,NIT-Silchar,Civil Engineering,GEN,HS,Female-Only,7,4 Years,B.Tech,2019,77673.0,96098.0,96098.0,0.0,2019
NIT,NIT-Silchar,Mechanical Engineering,GEN,HS,Gender-Neutral,7,4 Years,B.Tech,2019,21851.0,55086.0,55086.0,0.0,2019
IIT,IIT-Goa,Electrical Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1090.0,1211.0,1211.0,0.0,2021
IIT,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,GEN-EWS,AI,Female-Only,2,5 Years,B.Tech + M.Tech (IDD),2021,1035.0,1035.0,1035.0,0.0,2021
IIT,IIT-(BHU) Varanasi,Civil Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,5747.0,7064.0,7064.0,0.0,2021
