institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Ropar,Electrical Engineering,SC,AI,Gender-Neutral,6,4 Years,B.Tech,2020,850.0,1218.0,1218.0,0.0,2020
IIT,IIT-(BHU) Varanasi,Pharmaceutical Engineering & Technology,SC,AI,Gender-Neutral,6,4 Years,B.Tech,2020,2709.0,2934.0,2934.0,0.0,2020
NIT,NIT-Agartala,Biotechnology and Biochemical Engineering,SC,OS,Gender-Neutral,6,4 Years,B.Tech,2020,7737.0,8708.0,8708.0,0.0,2020
IIT,IIT-Hyderabad,Civil Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,2410.0,2410.0,2410.0,0.0,2020
IIT,IIT-Kanpur,Chemistry,GEN-EWS,AI,Female-Only,6,4 Years,BSc,2020,4294.0,4294.0,4294.0,0.0,2020
NIT,NIT-Meghalaya,Electronics and Communication Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,40749.0,40749.0,40749.0,0.0,2020
NIT,NIT-Jamshedpur,Production and Industrial Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,39012.0,48334.0,48334.0,0.0,2020
NIT,NIT-Manipur,Electrical Engineering,GEN,HS,Gender-Neutral,6,4 Years,B.Tech,2020,131567.0,189735.0,189735.0,0.0,2020
NIT,NIT-Silchar,Mechanical Engineering,GEN,HS,Female-Only,6,4 Years,B.Tech,2020,51373.0,93690.0,93690.0,0.0,2020
IIT,IIT-Kanpur,Mathematics and Scientific Computing,GEN-EWS,AI,Gender-Neutral,7,4 Years,BSc,2019,95.0,105.0,105.0,0.0,2019
IIT,IIT-Roorkee,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,7,4 Years,B.Tech,2019,202.0,231.0,231.0,0.0,2019
IIT,IIT-(BHU) Varanasi,Ceramic Engineering,GEN-EWS,AI,Female-Only,7,4 Years,B.Tech,2019,2058.0,2058.0,2058.0,0.0,2019
IIT,IIT-Tirupati,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,7,4 Years,B.Tech,2019,321.0,321.0,321.0,0.0,2019
NIT,NIT-Hamirpur,Electronics and Communication Engineering,GEN-EWS,OS,Female-Only,7,5 Years,Btech + M.Tech (IDD),2019,4780.0,4780.0,4780.0,0.0,2019
NIT,NIT-Rourkela,Mining Engineering,GEN-EWS,OS,Gender-Neutral,7,5 Years,Btech + M.Tech (IDD),2019,4359.0,4359.0,4359.0,0.0,2019
